key,id,university_name,country,teaching,international,research,citations,income,total_score,rank,num_students,student_staff_ratio,international_students,female_male_ratio,year,ranking_name,Total University Score,Teaching Score,Research Score,Citation Score,International Score,Income Score,Staff to Student Ratio,Name
110,RWTH Aachen University,RWTH Aachen University,Germany,49.4,54.1,56.3,63.2,98.1,57.2,110,0,0,0,0,0,RWTH Aachen University,57.2,49.4,56.3,63.2,54.1,98.1,0,RWTH Aachen University
110,University of Southampton,University of Southampton,United Kingdom,39.8,88.4,43.6,82,37.5,57.2,110,0,0,0,0,0,University of Southampton,57.2,39.8,43.6,82,88.4,37.5,0,University of Southampton
112,Scuola Normale Superiore di Pisa,Scuola Normale Superiore di Pisa,Italy,54.2,46.3,53.1,67.2,52,57.1,112,0,0,0,0,0,Scuola Normale Superiore di Pisa,57.1,54.2,53.1,67.2,46.3,52,0,Scuola Normale Superiore di Pisa
113,University of Montreal,University of Montreal,Canada,46.3,84.2,45.5,69.6,92.6,57,113,0,0,0,0,0,University of Montreal,57,46.3,45.5,69.6,84.2,92.6,0,University of Montreal
113,Pierre and Marie Curie University,Pierre and Marie Curie University,France,52.8,74.1,32.7,82.9,37.4,57,113,0,0,0,0,0,Pierre and Marie Curie University,57,52.8,32.7,82.9,74.1,37.4,0,Pierre and Marie Curie University
113,Purdue University,Purdue University,United States of America,50.2,66.4,57.7,63.2,46.86,57,113,0,0,0,0,0,Purdue University,57,50.2,57.7,63.2,66.4,46.86,0,Purdue University
116,Pohang University of Science and Technology,Pohang University of Science and Technology,South Korea,49.1,33.7,47.1,76.7,100,56.9,116,0,0,0,0,0,Pohang University of Science and Technology,56.9,49.1,47.1,76.7,33.7,100,0,Pohang University of Science and Technology
117,"University of Maryland, College Park","University of Maryland, College Park",United States of America,45,43.5,42.1,88.2,32.3,56.7,117,0,0,0,0,0,"University of Maryland, College Park",56.7,45,42.1,88.2,43.5,32.3,0,"University of Maryland, College Park"
118,Ghent University,Ghent University,Belgium,42.1,54.2,54.5,71.2,88.3,56.6,118,0,0,0,0,0,Ghent University,56.6,42.1,54.5,71.2,54.2,88.3,0,Ghent University
119,University of Birmingham,University of Birmingham,United Kingdom,39.4,82,41.8,82.7,34.7,56.2,119,0,0,0,0,0,University of Birmingham,56.2,39.4,41.8,82.7,82,34.7,0,University of Birmingham
120,University of Bern,University of Bern,Switzerland,40,83.7,42.5,76.6,82.9,56.1,120,0,0,0,0,0,University of Bern,56.1,40,42.5,76.6,83.7,82.9,0,University of Bern
120,University of Cape Town,University of Cape Town,South Africa,34.9,80.2,38.7,85.6,92.7,56.1,120,0,0,0,0,0,University of Cape Town,56.1,34.9,38.7,85.6,80.2,92.7,0,University of Cape Town
120,University of Florida,University of Florida,United States of America,51.8,33.3,56.8,67.7,46.86,56.1,120,0,0,0,0,0,University of Florida,56.1,51.8,56.8,67.7,33.3,46.86,0,University of Florida
123,University of Erlangen-Nuremberg,University of Erlangen-Nuremberg,Germany,51.7,47,39.7,75.2,99.4,56,123,0,0,0,0,0,University of Erlangen-Nuremberg,56,51.7,39.7,75.2,47,99.4,0,University of Erlangen-Nuremberg
123,"Rutgers, the State University of New Jersey","Rutgers, the State University of New Jersey",United States of America,43.9,34.7,55.7,75.4,35.9,56,123,0,0,0,0,0,"Rutgers, the State University of New Jersey",56,43.9,55.7,75.4,34.7,35.9,0,"Rutgers, the State University of New Jersey"
125,University of Mí€Œ_nster,University of Mí€Œ_nster,Germany,40.3,46.3,44.1,85.6,58.2,55.9,125,0,0,0,0,0,University of Mí€Œ_nster,55.9,40.3,44.1,85.6,46.3,58.2,0,University of Mí€Œ_nster
125,Radboud University Nijmegen,Radboud University Nijmegen,Netherlands,34.3,60.9,48.5,84.9,39.2,55.9,125,0,0,0,0,0,Radboud University Nijmegen,55.9,34.3,48.5,84.9,60.9,39.2,0,Radboud University Nijmegen
127,University of Colorado Boulder,University of Colorado Boulder,United States of America,39.7,36.6,37.6,96.4,35.7,55.8,127,0,0,0,0,0,University of Colorado Boulder,55.8,39.7,37.6,96.4,36.6,35.7,0,University of Colorado Boulder
